age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
young,State-gov,p25,Bachelors,average,Never-married,Adm-clerical,Not-in-family,White,Male,nonzero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-not-inc,p25,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,low,United-States,<=50K
middle_aged2,Private,p75,11th,elementary,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,zero,zero,normal,United-States,<=50K
adult,Private,p100,Bachelors,average,Married-civ-spouse,Prof-specialty,Wife,Black,Female,zero,zero,normal,Cuba,<=50K
young,Private,p100,Masters,average,Married-civ-spouse,Exec-managerial,Wife,White,Female,zero,zero,normal,United-States,<=50K
middle_aged,Private,p50,9th,elementary,Married-spouse-absent,Other-service,Not-in-family,Black,Female,zero,zero,low,Jamaica,<=50K
middle_aged2,Self-emp-not-inc,p75,HS-grad,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,zero,zero,normal,United-States,>50K
young,Private,p25,Masters,average,Never-married,Prof-specialty,Not-in-family,White,Female,nonzero,zero,high,United-States,>50K
middle_aged,Private,p50,Bachelors,average,Married-civ-spouse,Exec-managerial,Husband,White,Male,nonzero,zero,normal,United-States,>50K
young,Private,p100,Some-college,average,Married-civ-spouse,Exec-managerial,Husband,Black,Male,zero,zero,very_high,United-States,>50K
young,Private,p75,Assoc-acdm,average,Never-married,Sales,Not-in-family,Black,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p50,Assoc-voc,average,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,zero,zero,normal,?,>50K
young,Private,p100,7th-8th,elementary,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,zero,zero,normal,Mexico,<=50K
adult,Self-emp-not-inc,p50,HS-grad,average,Never-married,Farming-fishing,Own-child,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p75,HS-grad,average,Never-married,Machine-op-inspct,Unmarried,White,Male,zero,zero,normal,United-States,<=50K
young,Private,p25,11th,elementary,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Self-emp-not-inc,p100,Masters,average,Divorced,Exec-managerial,Unmarried,White,Female,zero,zero,normal,United-States,>50K
middle_aged,Private,p75,Doctorate,high_education,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,high,United-States,>50K
middle_aged2,Private,p100,HS-grad,average,Separated,Other-service,Unmarried,Black,Female,zero,zero,low,United-States,<=50K
young,Federal-gov,p25,9th,elementary,Married-civ-spouse,Farming-fishing,Husband,Black,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,11th,elementary,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,nonzero,normal,United-States,<=50K
middle_aged2,Private,p25,HS-grad,average,Divorced,Tech-support,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
teenager,Private,p50,HS-grad,average,Never-married,Craft-repair,Own-child,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Private,p75,Some-college,average,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,zero,zero,high,South,>50K
young,Private,p100,HS-grad,average,Divorced,Exec-managerial,Not-in-family,White,Male,zero,zero,very_high,United-States,<=50K
middle_aged,Private,p75,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
adult,Local-gov,p75,Assoc-acdm,average,Never-married,Protective-serv,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p100,Bachelors,average,Divorced,Exec-managerial,Own-child,White,Male,zero,nonzero,normal,United-States,<=50K
adult,State-gov,p100,Some-college,average,Married-civ-spouse,Other-service,Husband,Black,Male,zero,zero,low,United-States,<=50K
middle_aged,Private,p100,11th,elementary,Never-married,Machine-op-inspct,Unmarried,White,Male,zero,zero,normal,Puerto-Rico,<=50K
adult,Private,p75,Some-college,average,Never-married,Machine-op-inspct,Own-child,White,Male,zero,zero,normal,United-States,<=50K
teenager,Private,p100,HS-grad,average,Married-AF-spouse,Adm-clerical,Wife,White,Female,zero,zero,normal,United-States,<=50K
young,Private,p25,Some-college,average,Married-civ-spouse,Sales,Husband,White,Male,zero,zero,normal,?,>50K
middle_aged,Self-emp-not-inc,p100,Assoc-acdm,average,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Self-emp-not-inc,p25,Bachelors,average,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,<=50K
adult,Private,p50,Bachelors,average,Married-civ-spouse,Tech-support,Husband,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p25,HS-grad,average,Separated,Adm-clerical,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
adult,Private,p100,HS-grad,average,Never-married,Handlers-cleaners,Not-in-family,White,Male,zero,zero,normal,United-States,<=50K
middle_aged2,Federal-gov,p100,Bachelors,average,Married-civ-spouse,Prof-specialty,Husband,Black,Male,zero,zero,normal,United-States,>50K
middle_aged2,Private,p50,HS-grad,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p50,Masters,average,Divorced,Exec-managerial,Unmarried,White,Female,zero,zero,normal,United-States,<=50K
adult,Private,p25,Some-college,average,Married-civ-spouse,Exec-managerial,Wife,Other,Female,zero,zero,normal,United-States,<=50K
teenager,Private,p75,HS-grad,average,Never-married,Other-service,Own-child,White,Female,zero,zero,normal,?,<=50K
middle_aged,Private,p25,Prof-school,high_education,Married-civ-spouse,Prof-specialty,Wife,White,Female,zero,nonzero,high,Honduras,>50K
middle_aged2,Federal-gov,p100,Bachelors,average,Divorced,Exec-managerial,Not-in-family,White,Male,zero,zero,high,United-States,>50K
middle_aged,Self-emp-inc,p25,HS-grad,average,Divorced,Exec-managerial,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
middle_aged,Private,p75,5th-6th,elementary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,zero,zero,normal,Mexico,<=50K
young,Private,p25,Assoc-voc,average,Married-civ-spouse,Other-service,Husband,White,Male,zero,zero,normal,Puerto-Rico,<=50K
young,Private,p75,HS-grad,average,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,nonzero,zero,normal,United-States,<=50K
young,Private,p25,Bachelors,average,Married-civ-spouse,Sales,Husband,White,Male,nonzero,zero,normal,United-States,<=50K
middle_aged,Private,p50,HS-grad,average,Married-civ-spouse,Transport-moving,Husband,White,Male,zero,zero,normal,United-States,<=50K
middle_aged,Private,p25,Doctorate,high_education,Married-civ-spouse,Prof-specialty,Husband,White,Male,zero,zero,normal,United-States,>50K
adult,Private,p25,Some-college,average,Divorced,Tech-support,Not-in-family,White,Male,zero,zero,high,United-States,<=50K
young,Private,p50,HS-grad,average,Married-civ-spouse,Craft-repair,Husband,White,Male,zero,zero,normal,United-States,<=50K
